acres,parcel_count,min_dist_mi,owner,owner_type,zoning,zoning_threat_baseline,compactness,location,lat,lon,parcels
47.67,3,1.67,,individual,Ada County/Boise:A-1,Low,0.285,4500 E LAKE FOREST DR,43.549245,-116.119598,"S0932212412,S0933336320,S1604223150"
43.53,7,1.58,,individual,"Ada County/Boise:I-1, Ada County/Boise:I-2",Low,0.72,201 E AMITY RD,43.556128,-116.175648,"S1035110225,S1035110250,S1035110305,S1035110400,S1035131200,S1035141920,S1035141950"
37.0,2,4.46,,individual,Ada County/Boise:A-1,Low,0.401,500 S WALNUT ST,43.602081,-116.182818,"S1014212500,S1014212730"
34.09,5,1.83,,individual,"Ada County/Boise:R-1C, Ada County/Boise:RUT",Low,0.524,4055 S ECKERT RD,43.566737,-116.135076,"S0930417200,S0930417230,S0930417240,S0930428360,S0929325607"
31.04,3,2.08,,individual,"Ada County/Boise:I-1, Ada County/Boise:I-2",Low,0.743,3904 S GEKELER LN,43.565422,-116.182152,"S1026417510,S1026427910,S1026428005"
29.58,3,4.36,,individual,Ada County/Boise:I-1,Low,0.632,4553 W HARVARD ST,43.556305,-116.236002,"S1032110025,S1032131200,S1032141900"
26.74,4,4.21,,individual,"Ada County/Boise:A-1, Ada County/Boise:R-1C",Low,0.26,1811 E WARM SPRINGS AVE,43.601166,-116.174872,"R9227750115,S1014110566,S1014110574,S1014141996"
24.33,2,0.31,,individual,Ada County/Boise:I-1,Low,0.519,6225 S FEDERAL WAY,43.544293,-116.16056,"S1501120610,S1501141950"
22.72,4,1.6,,individual,"Ada County/Boise:A-1, Ada County/Boise:R-1C",Low,0.167,S TABLERIDGE WAY,43.564818,-116.162007,"R1071210090,R1071180500,S1025325450,S1025427910"
18.49,3,0.82,,individual,Ada County/Boise:R-1C,Low,0.26,3655 E LAKE FOREST DR,43.548883,-116.137446,"R1525690400,R1525640070,S0931447200"
18.0,1,1.91,,individual,Ada County/Boise:I-1,Low,0.564,2649 E FREIGHT ST,43.514151,-116.150242,S1618223150
17.29,1,3.32,,individual,Ada County/Boise:A-1,Low,0.412,2250 S LEADVILLE AVE,43.581375,-116.188585,R8992000731
16.84,2,1.94,,individual,Ada County/Boise:M2,Low,0.603,9587 S FEDERAL WAY,43.514052,-116.145058,"S1618212442,S1618241150"
15.73,3,0.47,,individual,Ada County/Boise:I-1,Low,0.759,7368 S EISENMAN RD,43.534189,-116.157305,"S1501417450,S1501417500,S1501449003"
15.39,3,1.34,,individual,Ada County/Boise:R-1C,Low,0.73,4863 E GRAND FOREST DR,43.546451,-116.122965,"R0830140250,R1525790355,S0932438612"
14.75,1,4.12,,individual,Ada County/Boise:A-1,Low,0.37,385 E PARKCENTER BLVD,43.597181,-116.181476,R6907020050
14.43,4,2.1,,individual,"Ada County/Boise:A-1, Ada County/Boise:R-1A",Low,0.446,E WILDERNEST LN,43.571857,-116.146486,"R5983920011,R5983920012,R5983920013,S0930222406"
12.21,2,2.76,,individual,Ada County/Boise:RP,Low,0.325,E WARM SPRINGS AVE,43.541374,-116.096112,"S1604110200,S1604142250"
11.59,3,4.29,,individual,"Ada County/Boise:A-1, Ada County/Boise:MX-1",Low,0.762,3131 S OWYHEE ST,43.573952,-116.224391,"R9322560100,R9322560200,S1028211240"
11.18,2,0.82,,individual,Ada County/Boise:I-1,Low,0.524,7519 S EISENMAN RD,43.533941,-116.164765,"S1501346800,S1501346900"
11.05,2,1.71,,individual,Ada County/Boise:I-1,Low,0.658,333 W GOWEN RD,43.543217,-116.1855,"S1502212620,S1502244507"
10.55,1,2.24,,individual,Ada County/Boise:I-1,Low,0.522,S GEKELER LN,43.561696,-116.186389,S1026335235
9.1,1,4.77,,individual,Ada County/Boise:RP,Low,0.401,E HWY 21,43.531868,-116.057021,S1602434000
9.07,1,2.4,,individual,Ada County/Boise:RP,Low,0.428,W MEMORY RD,43.507666,-116.141629,S1618428000
8.03,2,3.97,,individual,Ada County/Boise:A-1,Low,0.554,2001 S MANITOU AVE,43.587276,-116.199497,"R1955020930,R1955020975"
7.75,1,2.95,,individual,Ada County/Boise:A-1,Low,0.655,501 E BOISE AVE,43.579963,-116.177502,S1023417793
6.86,2,2.64,,individual,Ada County/Boise:I-1,Low,0.412,W BOEING ST,43.564029,-116.194065,"R1013670221,R1013680005"
6.84,1,2.65,,individual,Ada County/Boise:I-1,Low,0.643,858 W MCGREGOR CT,43.567204,-116.190867,R2767200930
6.67,1,4.48,,individual,Ada County/Boise:RP,Low,0.328,9725 E DISCOVERY STATE PARK RD,43.525883,-116.064381,S1611246550
6.67,2,4.9,,individual,Ada County/Boise:A-1,Low,0.266,1465 E SHENANDOAH DR,43.6117,-116.168129,"R2884050050,R2884060222"
5.95,1,2.95,,individual,Ada County/Boise:A-1,Low,0.658,1410 E PARKCENTER BLVD,43.583261,-116.164939,S1024244506
5.71,1,4.14,,individual,Ada County/Boise:A-1,Low,0.556,2825 W MALAD ST,43.57804,-116.217068,R3719160500
5.51,1,1.16,,individual,Ada County/Boise:R-1C,Low,0.59,4511 E TANOAK DR,43.544006,-116.128238,R1525780830
5.41,1,3.2,,individual,Ada County/Boise:I-1,Low,0.723,2107 W COMMERCE AVE,43.56322,-116.207739,R1013610045
5.08,1,0.72,,individual,Ada County/Boise:R-1C,Low,0.163,E ALTA RIDGE,43.54319,-116.136918,R8224270250
5.02,1,2.09,,individual,Ada County/Boise:A-1,Low,0.751,3450 S LAW AVE,43.570883,-116.162425,R1523280400
4.83,1,4.63,,individual,Ada County/Boise:A-1,Low,0.781,1149 E LEWIS ST,43.604559,-116.183566,S1011438500
4.37,2,1.59,,individual,"Ada County/Boise:A-1, Ada County/Boise:R-1C",Low,0.212,3960 S HOLCOMB RD,43.564753,-116.15315,"R3695650040,S0930325635"
3.8,1,3.02,,individual,Ada County/Boise:I-1,Low,0.733,4465 S INDUSTRIAL ST,43.561955,-116.204555,R1013670050
3.79,1,2.7,,individual,Ada County/Boise:A-1,Low,0.795,2441 S STARLITE LN,43.580849,-116.152581,S0919325600
3.73,1,3.67,,individual,Ada County/Boise:A-1,Low,0.78,201 W WILLIAMS ST,43.589189,-116.184184,S1023212660
3.63,1,0.92,,individual,Ada County/Boise:R-1C,Low,0.228,2600 E EASTGATE DR,43.55501,-116.151916,R1582210240
3.56,1,3.22,,individual,Ada County/Boise:R-1C,Low,0.412,1790 S RIDGE POINT WAY,43.588235,-116.14839,R1035130020
3.51,1,2.19,,individual,Ada County/Boise:I-1,Low,0.775,4707 S MARKET ST,43.559856,-116.187129,R0551610010
3.49,1,1.26,,individual,Ada County/Boise:I-1,Low,0.74,8611 S FEDERAL WAY,43.523566,-116.149117,S1607325700
3.48,1,4.41,,individual,Ada County/Boise:A-1,Low,0.295,1225 S FEDERAL WAY,43.59137,-116.206521,R5336000010
3.18,1,1.72,,individual,Ada County/Boise:R-1B,Low,0.426,5240 S SURPRISE WAY,43.553721,-116.121159,R8226670030
3.16,1,2.51,,individual,Ada County/Boise:R-1C,Low,0.53,5550 E WARM SPRINGS AVE,43.566492,-116.114556,S0929417200
3.04,1,2.28,,individual,Ada County/Boise:R-1C,Low,0.205,E BOISE AVE,43.57412,-116.1598,S1025121000
2.93,1,2.77,,individual,Ada County/Boise:I-1,Low,0.432,S BROADWAY AVE,43.566754,-116.19456,S1027417250
2.82,1,1.39,,individual,Ada County/Boise:I-1,Low,0.718,E GOWEN RD,43.544075,-116.178783,S1502120615
2.79,1,3.3,,individual,Ada County/Boise:A-1,Low,0.416,E WARM SPRINGS AVE,43.588741,-116.16242,S1024140900
2.75,1,3.01,,individual,Ada County/Boise:R-1C,Low,0.781,311 W FALL DR,43.577544,-116.185568,R5125500225
2.7,1,1.96,,individual,Ada County/Boise:R-1A,Low,0.186,E PARKRIVER DR,43.570096,-116.15073,R5983900170
2.68,1,2.89,,individual,Ada County/Boise:R-1C,Low,0.696,3100 S SNOWFLAKE WAY,43.574427,-116.187181,R5125520210
2.64,1,1.6,,individual,Ada County/Boise:A-1,Low,0.319,4627 S FEDERAL WAY,43.560455,-116.169942,S1036223006
2.49,1,2.73,,individual,Ada County/Boise:A-1,Low,0.588,7099 E WARM SPRINGS AVE,43.545074,-116.096936,S1604110215
2.35,1,0.74,,individual,Ada County/Boise:I-1,Low,0.781,6651 S EISENMAN RD,43.54221,-116.165872,R3220250015
2.24,1,2.71,,individual,Ada County/Boise:R-1C,Low,0.293,5346 E QUARTERPATH CT,43.573016,-116.118583,R3482180010
2.2,1,1.76,,individual,Ada County/Boise:R-1A,Low,0.384,E BOISE RIVER LN,43.56112,-116.128298,S0929346703
2.14,1,2.27,,individual,Ada County/Boise:R-1C,Low,0.675,3620 S CROSSPOINT AVE,43.56958,-116.175277,R5125640450
2.04,1,4.11,,individual,Ada County/Boise:A-1,Low,0.431,2205 E OLD PENITENTIARY RD,43.600438,-116.164623,S1013244780
2.01,1,4.64,,individual,Ada County/Boise:R-1C,Low,0.614,352 N COSTON ST,43.606621,-116.174939,S1011449710
